hours_of_sleep,screen_time,caffeine_intake,steps_walked,stress_level,exercise_minutes,alcohol_units,ambient_light,weekday,bedtime_hour,late_bed,active,sleep_good_prob,sleep_quality
6.759548794023597,1.94144808059988,1,3737,6,43,0,medium,weekend,20.42,0,1,0.3179133857916484,poor
7.376934177917016,2.4986280635405445,3,1004,9,2,0,low,weekday,23.94,1,0,0.0013048243634852241,poor
6.956610287868446,0.7762241939486185,0,0,8,42,1,low,weekday,21.79,0,1,0.38254605013926346,poor
5.539152452975585,3.862864882308848,1,5548,4,12,0,medium,weekday,23.54,1,0,0.022379315599012073,poor
8.428528518143775,1.695768072555652,1,4010,9,34,0,low,weekday,21.05,0,1,0.7117482299909352,good
7.939916290858468,3.051025413487907,0,6623,1,61,0,low,weekend,20.54,0,1,0.873035549659039,good
7.988789933803808,9.16888117044273,2,6397,6,21,0,medium,weekend,0.08,0,0,0.11230451650498974,poor
5.863265681506576,2.0514989573233033,0,1190,8,44,0,medium,weekday,22.76,1,1,0.18550804667393617,poor
8.753492888670124,4.235768498473424,0,555,4,12,1,low,weekday,21.98,0,0,0.66396736557254,good
5.247686171509649,2.1652258733545473,2,6887,2,0,0,medium,weekday,22.27,1,0,0.0,poor
7.733571367250338,1.4415533759987635,0,6406,2,66,1,high,weekend,22.28,1,1,0.7883689228231228,good
9.738069532262474,6.030884915639962,2,4722,10,43,1,low,weekday,2.05,0,1,0.42539193176480894,poor
5.76182959358664,0.3476032723631084,0,1028,1,21,0,low,weekday,23.4,1,0,0.19184521798159893,poor
6.292127837996535,5.0025942566221175,0,7414,5,42,0,low,weekday,23.21,1,1,0.2747459592731629,poor
7.124564206359551,0.29650840037957304,2,9815,6,0,1,medium,weekend,21.87,0,1,0.04798769727016339,poor
6.370655432354751,4.657475731574903,1,6833,4,36,0,medium,weekday,0.18,0,1,0.14941275864614745,poor
5.061670711167334,2.527741662375806,1,3457,4,30,0,medium,weekday,21.27,0,1,0.08309170802012755,poor
7.085703718507534,1.0703480235490703,2,6133,5,41,1,high,weekday,23.78,1,1,0.07493855577600672,poor
5.672120357842369,1.7917148147803146,0,1901,5,66,0,low,weekday,23.79,1,1,0.2666632931576026,poor
7.591990538293977,4.078478187622379,0,9173,9,61,0,low,weekday,0.53,0,1,0.7588800790732737,good
5.850719707207746,8.612761332395934,0,6245,8,0,0,low,weekday,20.05,0,0,0.0022919276636548247,poor
8.937418006271924,0.5295770804262616,1,695,9,0,0,low,weekday,0.69,0,0,0.7325067520019853,good
6.0209333845797035,1.1321743731823624,1,5097,3,31,0,medium,weekend,23.53,1,1,0.11745764368249445,poor
6.597423104742905,0.7074128979361721,1,7389,3,29,0,medium,weekday,21.87,0,0,0.24885435964706515,poor
8.016896521712088,2.151362115246785,0,5000,1,0,0,low,weekday,19.76,0,0,0.807901289187736,good
5.461419604457556,4.743177258781864,0,5172,10,0,0,low,weekend,22.39,1,0,0.0,poor
7.2843249182551615,0.6112544917635,0,2326,6,5,2,medium,weekend,23.28,1,0,0.12777567705131243,poor
8.633928442853035,2.4766628484624067,2,7699,4,58,1,low,weekend,20.72,0,1,0.4917101870499755,poor
4.990645956798465,4.640754520194353,1,4054,8,13,0,low,weekend,21.72,0,0,0.0423044273599914,poor
7.23079232316538,1.7705129138754585,0,0,2,0,0,low,weekday,21.1,0,0,0.5650556091868284,good
7.324853492810529,2.905390474164368,0,4886,2,23,0,low,weekday,22.35,1,0,0.623008940784673,good
7.977278589721638,5.737874366142231,1,8943,7,24,0,high,weekday,21.37,0,1,0.46226859709815704,poor
5.453811611402397,0.9466181096341117,0,4839,5,0,1,low,weekend,2.26,0,0,0.022686879807110705,poor
5.3494292336446545,0.3953478410052852,0,11213,1,39,0,medium,weekday,0.3,0,1,0.3977232694784163,poor
7.652426957021122,3.1714972565147352,0,7286,7,53,0,low,weekday,21.34,0,1,0.7901109401852385,good
7.3712308415414824,3.235520627868488,1,7016,7,16,0,low,weekday,21.56,0,0,0.3025034104798888,poor
7.3131160629323455,1.670204393290757,0,5614,10,0,1,low,weekend,20.78,0,0,0.28447085046398435,poor
7.433060261871219,1.4065112315141146,1,5795,6,18,1,low,weekend,22.77,1,0,0.13252674690148003,poor
6.149969098026887,2.5667207801156695,2,5209,4,32,0,low,weekend,1.66,0,1,0.1083853658409184,poor
7.290317121451254,0.9303013434337744,1,5093,8,0,0,low,weekday,0.8,0,0,0.27318410245160385,poor
7.366340591623351,0.9317255146680101,1,7592,2,37,0,low,weekday,23.3,1,1,0.5436557337466297,good
6.10706072746704,4.059868355286086,0,3192,2,15,0,low,weekday,22.56,1,0,0.13230897780092032,poor
9.332218138930946,0.8699914283812229,3,2772,2,26,0,low,weekday,23.83,1,0,0.45520472185077654,poor
7.592291151139735,0.42599688882044806,1,2630,3,17,1,low,weekday,23.42,1,0,0.23598687116203698,poor
5.510870628496689,1.4040624823862036,0,12136,6,6,0,low,weekday,23.65,1,1,0.16999938478309295,poor
7.820692010792287,1.7042105291919913,1,7591,1,22,1,low,weekday,23.3,1,0,0.3266446485676475,poor
5.781647912215848,3.5057724322452026,1,6913,2,12,2,medium,weekend,23.67,1,0,0.03544041095388084,poor
7.983855754678065,1.512255775909938,1,2827,10,16,0,medium,weekday,20.87,0,0,0.4184965567681781,poor
8.448244473759255,6.389809645444659,2,7870,2,2,0,medium,weekend,22.82,1,0,0.1554358279086583,poor
5.974147102060362,2.6688841909568786,0,5650,1,38,1,medium,weekday,23.35,1,1,0.15993152294369073,poor
8.204220161555401,1.2387239022198118,1,6642,3,55,0,low,weekday,22.35,1,1,0.7599559832021536,good
7.515976158670623,3.400905107700808,2,3070,10,3,0,low,weekday,21.13,0,0,0.052557836207905884,poor
8.027575199993112,6.314911232940599,1,6480,7,22,0,medium,weekday,23.01,1,0,0.24126976675779,poor
9.370991228317434,3.982976394838298,0,4728,1,0,0,low,weekday,5.22,0,0,0.8957391710837783,good
6.6932648549964116,0.5727892474648794,2,3703,7,34,0,low,weekday,21.77,0,1,0.13489991812563318,poor
6.057829794553138,1.8277236744046599,0,8202,5,30,0,medium,weekend,22.79,1,1,0.3427523993616097,poor
5.888106962968096,3.016484697262733,1,1386,9,10,0,medium,weekend,0.89,0,0,0.04080188441003019,poor
5.980237143793202,3.868581720941709,1,7694,2,22,0,low,weekday,1.66,0,0,0.0865867551612346,poor
6.9036228632323695,2.1617571947953826,2,8053,1,46,0,low,weekend,22.13,1,1,0.17404917861441416,poor
7.426439968520805,1.9290247218200323,1,3361,9,0,0,low,weekday,0.45,0,0,0.26317359379988026,poor
7.345863499162524,7.836775388610794,1,3539,8,0,0,medium,weekend,0.19,0,0,0.07240354629923729,poor
8.03397906129503,4.023992335717975,2,5330,10,39,0,low,weekday,22.24,1,1,0.26127953793949443,poor
7.016252364847384,3.4084911047372737,0,6846,6,26,0,high,weekend,23.94,1,0,0.25885573392074934,poor
8.816917596446647,1.567214963457269,1,5541,5,23,1,medium,weekend,22.74,1,0,0.4908476678904039,poor
6.669178958452555,0.9174289403463133,1,7300,8,48,1,low,weekend,22.06,1,1,0.1872799133541292,poor
10.400211458237024,3.4513244230344977,1,11288,8,42,1,low,weekday,1.58,0,1,0.8692535689752039,good
7.782084184706258,4.332113140230231,0,4476,5,67,1,low,weekday,23.97,1,1,0.45509499234777717,poor
5.9285530544796465,2.489179006307185,2,854,7,47,0,high,weekday,20.48,0,1,0.007758157201418703,poor
5.66138437742361,4.031490339622679,0,8477,1,38,0,low,weekday,22.81,1,1,0.16599354061316174,poor
7.603090519053982,4.103269351619409,4,11049,4,23,0,medium,weekday,22.22,1,1,0.00399975296922328,poor
6.720671518342686,4.5311104348989915,0,7178,2,21,1,low,weekend,22.68,1,0,0.16611390730640663,poor
7.892500617615115,0.562129643452667,2,2736,10,24,1,low,weekday,23.77,1,0,0.02871718723495642,poor
7.5915470307169315,1.870392392377069,0,5628,3,30,0,medium,weekday,23.44,1,1,0.7486468108475444,good
6.908963859178909,3.6002687409680085,1,2644,1,0,0,low,weekday,1.15,0,0,0.21532258579009,poor
5.941507852414494,2.5976303471648885,1,7928,2,31,0,medium,weekday,0.83,0,1,0.1872639310674019,poor
5.106440969142669,4.1121423782800255,2,1946,1,18,0,low,weekday,21.18,0,0,0.0008295235967938908,poor
6.441856309916224,3.4070301596244335,1,5099,8,33,0,medium,weekday,22.85,1,1,0.14190820993139286,poor
8.07049849290434,0.21883463488617944,1,2986,4,10,1,medium,weekday,20.08,0,0,0.4470887120924778,poor
7.267617180162755,5.2833326217162275,0,6380,3,8,0,medium,weekend,21.5,0,0,0.4499091117207705,poor
5.442826526610014,1.682653281993559,0,4900,1,30,1,low,weekday,19.86,0,1,0.14770857797064973,poor
7.216476157313977,1.1737955427962863,0,6530,2,36,0,low,weekend,20.65,0,1,0.7784697377006052,good
7.481646724661046,5.165534491653435,0,6067,3,9,0,low,weekend,1.1,0,0,0.5152026684596394,good
5.895178204748584,3.8952831928214757,2,3040,3,57,1,low,weekday,0.13,0,1,0.06131360060701341,poor
7.19215638243191,5.6579274271137106,1,7880,6,57,0,low,weekend,23.93,1,1,0.2082916445797358,poor
7.0727608980575,3.0408027150922625,1,5853,10,0,0,low,weekday,0.76,0,0,0.08314536165458919,poor
5.571287127711721,1.8509136901977141,0,3034,8,5,0,low,weekday,23.92,1,0,0.07055279509965273,poor
7.4472342004353544,2.788077565468792,0,12722,6,27,1,medium,weekday,22.87,1,1,0.417876499366604,poor
7.700980657960293,0.9894960405028914,2,7429,2,34,0,medium,weekday,22.12,1,1,0.42992499197750056,poor
8.353814053969096,0.6889165055083041,0,5540,2,78,0,high,weekend,1.54,0,1,0.9413334524439809,good
8.317252565043628,1.4687002768922568,1,10245,7,28,0,low,weekday,0.96,0,1,0.7265095699834236,good
5.277913290053636,6.801467111341485,3,11525,1,22,1,low,weekday,22.67,1,1,0.0018120086089172815,poor
5.827718700106097,1.5993471904911918,1,5563,1,0,1,low,weekday,0.15,0,0,0.07290533597060467,poor
7.643794084010825,0.4370721383254932,1,7042,7,0,0,low,weekday,18.81,0,0,0.45641753875085356,poor
7.642232438640261,2.2100935454750332,0,3035,9,21,0,low,weekend,0.22,0,0,0.5297647376815219,good
7.6438096078825595,1.5814627330056563,1,5558,5,76,1,high,weekday,22.25,1,1,0.4353696191544443,poor
11.0,5.348161770105431,3,5402,1,19,0,low,weekday,3.07,0,0,0.777642341577423,good
7.713613138366458,6.484866703462643,1,6554,5,5,0,low,weekday,0.73,0,0,0.20633133976235085,poor
8.419457050225748,1.7817631535374592,2,6998,1,36,0,low,weekday,20.04,0,1,0.6350644365801983,good
8.192502204366503,3.038662805994209,1,7679,10,0,0,low,weekday,21.93,0,0,0.385854396228856,poor
7.814239064132248,3.2265859606249365,0,6712,9,26,0,low,weekday,23.09,1,0,0.5622880237313791,good
6.605913444199568,2.406963696153785,1,2367,4,45,0,low,weekday,22.94,1,1,0.21368626777236654,poor
7.948711525616584,2.079846854308958,1,3184,9,1,0,low,weekend,22.87,1,0,0.23518155762956505,poor
6.033968481828035,1.10335958213101,0,4360,2,59,1,low,weekday,0.48,0,1,0.30263790744779806,poor
6.703976741574989,0.35828852894735835,3,5153,7,41,0,low,weekend,22.19,1,1,0.09391240534208423,poor
6.393295565213621,1.0974457524312244,1,9152,2,59,0,medium,weekend,22.89,1,1,0.31394998152597897,poor
7.102342674232903,2.3418790163124314,0,2511,4,0,1,low,weekend,1.29,0,0,0.18902232191817747,poor
9.893323208341886,0.6124140779061152,0,4927,6,20,1,low,weekday,1.31,0,0,0.9564809185183917,good
4.665918509260315,2.9232345040900176,1,8859,2,48,0,high,weekend,0.47,0,1,0.0409722384844694,poor
7.857825237968142,2.6367033992657127,1,5100,2,0,0,low,weekend,22.48,1,0,0.39559167472453094,poor
4.984105161012936,1.5837573559818718,1,7381,2,48,0,low,weekend,21.94,0,1,0.08295144772160623,poor
6.410085167763208,2.0099776964194267,0,5581,3,20,0,medium,weekday,22.94,1,0,0.2630370962723295,poor
8.361188246209208,0.7333749605469719,3,6770,5,48,0,low,weekday,23.04,1,1,0.33304483652392514,poor
7.080350023869329,4.475579865354259,1,5314,9,30,0,medium,weekend,22.95,1,1,0.14466659176623442,poor
5.652819027588367,4.4234329302694775,0,8001,6,60,0,medium,weekday,23.83,1,1,0.10594460421432261,poor
6.10587036342504,0.870500021658889,1,1364,9,0,1,low,weekday,23.54,1,0,0.026482815067382925,poor
7.849497186168345,0.8953832270966507,1,4910,10,33,0,medium,weekday,23.48,1,1,0.4341197696781699,poor
6.08704171035358,1.1109318703611282,2,6889,5,0,0,low,weekend,22.3,1,0,0.04484557489704544,poor
7.2705732369774685,3.7272097032837923,1,7601,6,35,0,low,weekday,21.2,0,1,0.4153560213539913,poor
7.0569647998797675,3.219248872184928,1,10478,10,33,0,medium,weekend,0.04,0,1,0.317659607194398,poor
6.185499565492728,5.125994653449862,0,4826,8,17,0,medium,weekday,23.09,1,0,0.07391166836819418,poor
9.679930111656656,5.5177216733258465,0,10438,3,5,1,medium,weekday,23.61,1,1,0.9024575397482213,good
7.792398777897514,0.5527066892579121,0,4022,2,16,0,low,weekday,23.66,1,0,0.7062513503943071,good
4.468571766677991,3.633931484760724,1,9985,3,27,1,low,weekday,19.96,0,1,0.03517973354497306,poor
7.233067893461785,5.3705523700129945,0,8452,9,32,0,low,weekday,1.58,0,1,0.5241719559893327,good
6.172766919039515,1.907261507272194,1,3259,6,73,0,low,weekday,22.15,1,1,0.18693430735836758,poor
8.06554166849528,2.4546682456485756,2,6921,10,46,0,high,weekday,1.06,0,1,0.4057970787460966,poor
6.009349076959124,2.177336047888706,2,5846,4,10,0,low,weekday,23.64,1,0,0.0,poor
6.856579448166376,2.253949141707479,1,7876,10,39,1,low,weekday,21.38,0,1,0.08422143460942699,poor
7.631234098725572,4.46506634899518,2,5330,3,47,1,low,weekday,21.94,0,1,0.15122587447070157,poor
8.082193992712652,7.649042888486157,2,5078,2,8,0,low,weekday,21.97,0,0,0.20718300570758963,poor
5.499629491180279,6.242834090238259,1,10107,4,42,1,medium,weekday,22.05,1,1,0.012726064185710095,poor
6.5818734551988145,1.647009628758471,2,5703,9,0,2,low,weekday,20.35,0,0,0.0,poor
6.406318361048805,3.0457407487572112,0,8479,4,7,0,medium,weekend,21.8,0,1,0.3375175827033531,poor
6.18333845928286,1.268669956579338,1,5323,5,0,1,low,weekday,0.45,0,0,0.015169884940949618,poor
9.20681780035137,1.3870264167523403,0,10999,8,19,0,low,weekday,0.6,0,1,0.9069935358850718,good
7.5062271387011945,2.372153215655112,1,3964,2,13,1,medium,weekday,21.99,0,0,0.26529177374081925,poor
5.423895057081193,1.3543129812178916,1,4157,3,15,0,low,weekday,20.19,0,0,0.028788730706551302,poor
8.14732743381847,1.536564013478099,0,10573,6,45,0,low,weekday,23.95,1,1,0.7799681426125114,good
9.652695246265791,2.992852552238726,1,4665,7,27,0,medium,weekday,21.38,0,0,0.8786110769632,good
8.290581575688934,3.5978476469190115,0,10803,4,45,0,low,weekday,21.5,0,1,0.9060103457077935,good
5.100787542557484,3.5299467142535788,0,8675,1,65,1,low,weekday,22.58,1,1,0.03955600537041015,poor
6.394707408917186,3.5549794372550707,1,5536,7,77,0,medium,weekday,22.44,1,1,0.15063277956474097,poor
8.583638936483279,0.7875962702512289,0,560,9,21,0,high,weekday,21.82,0,0,0.8574676417195203,good
6.115413167976524,1.2940690354594828,0,5942,1,38,0,low,weekday,21.95,0,1,0.543497277047436,good
